ID,CodeFigure,Meaning_en,ChemicalFormula,Status,translation_source
C14/30251,30251,Thorium 234,Th-234,Operational,NA
C14/30252,30252,Protactinium 231,Pa-231,Operational,NA
C14/30253,30253,Protactinium 233,Pa-233,Operational,NA
C14/30254,30254,Protactinium 234 metastable,Pa-234m,Operational,NA
C14/30255,30255,Uranium 232,U-232,Operational,NA
C14/30256,30256,Uranium 233,U-233,Operational,NA
C14/30257,30257,Uranium 234,U-234,Operational,NA
C14/30258,30258,Uranium 235,U-235,Operational,NA
C14/30259,30259,Uranium 236,U-236,Operational,NA
C14/30260,30260,Uranium 237,U-237,Operational,NA
C14/30261,30261,Uranium 238,U-238,Operational,NA
C14/30262,30262,Plutonium 236,Pu-236,Operational,NA
C14/30263,30263,Plutonium 238,Pu-238,Operational,NA
C14/30264,30264,Plutonium 239,Pu-239,Operational,NA
C14/30265,30265,Plutonium 240,Pu-240,Operational,NA
C14/30266,30266,Plutonium 241,Pu-241,Operational,NA
C14/30267,30267,Plutonium 242,Pu-242,Operational,NA
C14/30268,30268,Plutonium 244,Pu-244,Operational,NA
C14/30269,30269,Neptunium 237,Np-237,Operational,NA
C14/30270,30270,Neptunium 238,Np-238,Operational,NA
C14/30271,30271,Neptunium 239,Np-239,Operational,NA
C14/30272,30272,Americium 241,Am-241,Operational,NA
C14/30273,30273,Americium 242,Am-242,Operational,NA
C14/30274,30274,Americium 242 metastable,Am-242m,Operational,NA
C14/30275,30275,Americium 243,Am-243,Operational,NA
C14/30276,30276,Curium 242,Cm-242,Operational,NA
C14/30277,30277,Curium 243,Cm-243,Operational,NA
C14/30278,30278,Curium 244,Cm-244,Operational,NA
C14/30279,30279,Curium 245,Cm-245,Operational,NA
C14/30280,30280,Curium 246,Cm-246,Operational,NA
C14/30281,30281,Curium 247,Cm-247,Operational,NA
C14/30282,30282,Curium 248,Cm-248,Operational,NA
C14/30283,30283,Curium 243/244,Cm-243244,Operational,NA
C14/30284,30284,Plutonium 238/Americium 241,Pu-238Am-241,Operational,NA
C14/30285,30285,Plutonium 239/240,Pu-239240,Operational,NA
C14/30286,30286,Berkelium 249,Bk-249,Operational,NA
C14/30287,30287,Californium 249,Cf-249,Operational,NA
C14/30288,30288,Californium 250,Cf-250,Operational,NA
C14/30289,30289,Californium 252,Cf-252,Operational,NA
C14/30290,30290,Sum aerosol particulates,SumAer,Operational,NA
C14/30291,30291,Sum Iodine,SumIod,Operational,NA
C14/30292,30292,Sum noble gas,SumNG,Operational,NA
C14/30293,30293,Activation gas,ActGas,Operational,NA
C14/30294,30294,Cs-137 Equivalent,EquCs137,Operational,NA
