ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_es,CodeFigure_SubCentres,Name_SubCentres_es,Status,translation_source
C12/78/224,78,Offenbach (CMRE),224,Austria (CMN),Operational,PDF
C12/78/225,78,Offenbach (CMRE),225,"Nordrhein-Westfalen, CCOT Kamen, Leverkusen",Operational,PDF
C12/78/226,78,Offenbach (CMRE),226,"Hessen, CCOT Rüsselsheim",Operational,PDF
C12/78/227,78,Offenbach (CMRE),227,"Renania-Pfalz, CCOT Coblenza",Operational,PDF
C12/78/228,78,Offenbach (CMRE),228,"Baden-Württemberg, CCOT Ludwigsburg",Operational,PDF
C12/78/229,78,Offenbach (CMRE),229,"Baviera, CCOT Freimann",Operational,PDF
C12/78/230,78,Offenbach (CMRE),230,"Saarland, CCOT Rohrbach",Operational,PDF
C12/78/231,78,Offenbach (CMRE),231,"Baviera, Dirección de autopistas del norte de Baviera",Operational,PDF
C12/78/232,78,Offenbach (CMRE),232,"Brandenburgo, CCOT Stolpe",Operational,PDF
C12/78/233,78,Offenbach (CMRE),233,"Mecklenburg-Vorpommern, CCOT Malchow",Operational,PDF
C12/78/234,78,Offenbach (CMRE),234,"Sachsen, CCOT Dresde",Operational,PDF
C12/78/235,78,Offenbach (CMRE),235,"Sachsen-Anhalt, CCOT Halle",Operational,PDF
C12/78/236,78,Offenbach (CMRE),236,"Thüringen, CCOT Erfurt",Operational,PDF
C12/78/237,78,Offenbach (CMRE),237,EasyWay - Meteotrans,Operational,PDF
C12/78/254,78,Offenbach (CMRE),254,EUMETSAT,Operational,PDF
C12/80/101,80,Roma (CMRE),101,Albania (CMN),Operational,PDF
C12/80/102,80,Roma (CMRE),102,Consejo Nacional de Investigaciones/ Instituto de Ciencias Atmosféricas y del Clima (CNI-ISAC),Operational,PDF
C12/85/200,85,Toulouse (CMRE),200,Institut National de l'Environnement Industriel et des Risques (Francia),Operational,PDF
C12/85/201,85,Toulouse (CMRE),201,Rheinisches Institut für Umweltforschung an der Universität zu Köln E.V. (Alemania),Operational,PDF
C12/85/202,85,Toulouse (CMRE),202,Institut Français de Recherche pour l'Exploitation de la Mer,Operational,PDF
C12/85/203,85,Toulouse (CMRE),203,Universidad de Aarhus (Dinamarca),Operational,PDF
C12/85/204,85,Toulouse (CMRE),204,Instituto de Protección Medioambiental - Instituto Nacional de Investigación (Polonia),Operational,PDF
C12/89/1,89,Praga (RTH),1,Observatorio de la radiación solar y del ozono Hradec Kralove,Operational,PDF
C12/96/1,96,Atenas,1,Chipre (CMN),Operational,PDF
C12/211/10,211,,10,,Operational,NA
C12/227/1,227,Bélgica (CMN),1,Luxemburgo (CMN),Operational,PDF
C12/250/76,250,COSMO (Consorcio para la modernización en pequeña escala),76,Roshydromet (Federación de Rusia),Operational,PDF
C12/250/78,250,COSMO (Consorcio para la modernización en pequeña escala),78,Deutscher Wetterdienst (Alemania),Operational,PDF
C12/250/80,250,COSMO (Consorcio para la modernización en pequeña escala),80,Ufficio Generale Spazio Aereo e Meteorologia (Italia),Operational,PDF
C12/250/96,250,COSMO (Consorcio para la modernización en pequeña escala),96,Servicio Meteorológico Nacional Helénico(Grecia),Operational,PDF
C12/250/215,250,COSMO (Consorcio para la modernización en pequeña escala),215,MeteoSwiss (Suiza),Operational,PDF
C12/250/220,250,COSMO (Consorcio para la modernización en pequeña escala),220,Instituto de Meteorología y Gestión del Agua (Polonia),Operational,PDF
C12/250/242,250,COSMO (Consorcio para la modernización en pequeña escala),242,Administración Meteorológica Nacional (Rumania),Operational,PDF
C12/254/10,254,Centro de operaciones de EUMETSAT,10,Tromsø (Noruega),Operational,PDF
C12/254/20,254,Centro de operaciones de EUMETSAT,20,Maspalomas (España),Operational,PDF
C12/254/30,254,Centro de operaciones de EUMETSAT,30,Kangerlussuaq (Groenlandia),Operational,PDF
C12/254/40,254,Centro de operaciones de EUMETSAT,40,Edmonton (Canadá),Operational,PDF
C12/254/50,254,Centro de operaciones de EUMETSAT,50,Bedford (Canadá),Operational,PDF
C12/254/60,254,Centro de operaciones de EUMETSAT,60,Gander (Canadá),Operational,PDF
C12/254/70,254,Centro de operaciones de EUMETSAT,70,Monterrey (Estados Unidos),Operational,PDF
C12/254/80,254,Centro de operaciones de EUMETSAT,80,Isla Wallops (Estados Unidos),Operational,PDF
C12/254/90,254,Centro de operaciones de EUMETSAT,90,Gilmore Creek (Estados Unidos),Operational,PDF
C12/254/100,254,Centro de operaciones de EUMETSAT,100,Atenas (Grecia),Operational,PDF
C12/254/120,254,Centro de operaciones de EUMETSAT,120,"Ewa Beach, Hawái",Operational,PDF
C12/254/125,254,Centro de operaciones de EUMETSAT,125,"Isla Ford, Hawái",Operational,PDF
C12/254/130,254,Centro de operaciones de EUMETSAT,130,"Miami, Florida",Operational,PDF
C12/254/140,254,Centro de operaciones de EUMETSAT,140,Lannion (Francia),Operational,PDF
C12/254/150,254,Centro de operaciones de EUMETSAT,150,Svalbard (Noruega),Operational,PDF
C12/254/170,254,Centro de operaciones de EUMETSAT,170,St. Denis (La Reunión),Operational,PDF
C12/254/180,254,Centro de operaciones de EUMETSAT,180,Moscú,Operational,PDF
C12/254/190,254,Centro de operaciones de EUMETSAT,190,Mascate,Operational,PDF
C12/254/200,254,Centro de operaciones de EUMETSAT,200,Jabarovsk,Operational,PDF
C12/254/210,254,Centro de operaciones de EUMETSAT,210,Novosibirsk,Operational,PDF
C12/254/220,254,Centro de operaciones de EUMETSAT,220,,Operational,PDF
