ID,Code,Agency_es,Type_es,InstrumentShortName_es,InstrumentLongName_es,Status,translation_source
C08/574,574,NOAA,Radiómetro,AMSU-B,Unidad de sondeo en microondas avanzada-B,Operational,PDF
C08/580,580,NOAA,Radiómetro,ATOVS (HIRS/3 + AMSU+ AVHRR/3),Sonda vertical operativa TIROS avanzada,Operational,PDF
C08/590,590,NOAA,Radiómetro,AVHRR/2,Radiómetro avanzado de muy alta resolución/2,Operational,PDF
C08/591,591,NOAA,Radiómetro,AVHRR/3,Radiómetro avanzado de muy alta resolución/3,Operational,PDF
C08/592,592,NOAA,Radiómetro,AVHRR/4,Radiómetro avanzado de muy alta resolución/4,Operational,PDF
C08/600,600,NOAA,Radiómetro,ERBE,Experimento sobre el balance de la radiación terrena,Operational,PDF
C08/601,601,NOAA,Radiómetro,ETM+,Trazador temático cartográfico mejorado,Operational,PDF
C08/604,604,NOAA,Radiómetro,HIRS/1,Sonda infrarroja de alta resolución/1,Operational,PDF
C08/605,605,NOAA,Radiómetro,HIRS/2,Sonda infrarroja de alta resolución/2,Operational,PDF
C08/606,606,NOAA,Radiómetro,HIRS/3,Sonda infrarroja de alta resolución/3,Operational,PDF
C08/607,607,NOAA,Radiómetro,HIRS/4,Sonda infrarroja de alta resolución/4,Operational,PDF
C08/615,615,NOAA,Radiómetro,IMAGER,Imagenizador,Operational,PDF
C08/616,616,NOAA,Radiómetro productor,TOVS (HIRS/2,Sonda vertical operativa TIROS,Operational,PDF
C08/617,617,NOAA,Radiómetro multiespectral de obtención de imágenes,ABI,Generador avanzado de imágenes de base,Operational,PDF
C08/618,618,NOAA,Generador óptico de,GLM,Generador geoestacionario de mapas de,Operational,PDF
C08/620,620,NOAA,Sonda para la temperatura,CrIRS/NP,Sonda infrarroja transversal a la,Operational,PDF
C08/621,621,NOAA,Sonda para la temperatura y humedad atmosféricas,ATMS,Sonda de microondas de tecnología avanzada,Operational,PDF
C08/622,622,NOAA,Radiómetro,MSS,Sistema de exploración multiespectral,Operational,PDF
C08/623,623,NOAA,Radiómetro,MSU,Unidad de sondeo en microondas solar/2 solar/3,Operational,PDF
C08/624,624,,,,,Operational,NA
C08/625,625,,,,,Operational,NA
C08/626,626,NOAA,Radiómetro,SOUNDER,SOUNDER,Operational,PDF
C08/627,627,NOAA,Radiómetro,SSU,Unidad de sondeo estratosférico,Operational,PDF
C08/628,628,NOAA,Radiómetro,TM,Trazador temático cartográfico,Operational,PDF
C08/629,629,,,,,Operational,NA
C08/630,630,NOAA,Radiómetro,VAS,Sonda atmosférica VISSR,Operational,PDF
C08/631,631,NOAA,Radiómetro,SSZ,,Operational,PDF
C08/645,645,NOAA,Espectrómetro,SEM,Monitor del medio ambiente espacial,Operational,PDF
C08/650,650,NRSCC,Radiómetro,MVIRSR (canal 10),Radiómetro de exploración visible e infrarrojo multiespectral,Operational,PDF
C08/651,651,NRSCC,Radiómetro,MVIRSR (canal 3),Radiómetro de exploración visible e infrarrojo multiespectral,Operational,PDF
C08/652,652,NRSCC,Radiómetro,MVIRSR (canal 5),Radiómetro de exploración visible e infrarrojo multiespectral,Operational,PDF
C08/670,670,NSAU,Radar,RLSBO,Radar de microondas de orientación lateral,Operational,PDF
C08/680,680,NSAU,Productor de imágenes ópticas de alta resolución,MSU-EU,Radiómetro multiespectral de alta resolución,Operational,PDF
C08/681,681,NSAU,Radiómetro productor de imágenes multiespectrales (vis/IR),MSU-UM,Radiómetro multiespectral visible,Operational,PDF
C08/682,682,NSAU,Radiómetro,RM-08,Radiómetro de imagenización por microondas,Operational,PDF
C08/683,683,NSAU,Productor de imágenes ópticas de alta resolución,SU-UMS,Estereorradiómetro de alta resolución,Operational,PDF
