ID,CodeFigure,Meaning_ru,ChemicalFormula,Status,translation_source
C14/30269,30269,Нептуний-237,Np-237,Operational,PDF
C14/30270,30270,Нептуний-238,Np-238,Operational,PDF
C14/30271,30271,Нептуний-239,Np-239,Operational,PDF
C14/30272,30272,Америций-241,Am-241,Operational,PDF
C14/30273,30273,Америций-242,Am-242,Operational,PDF
C14/30274,30274,Америций-242 метастабильный,Am-242m,Operational,PDF
C14/30275,30275,Америций-243,Am-243,Operational,PDF
C14/30276,30276,Кюрий-242,Cm-242,Operational,PDF
C14/30277,30277,Кюрий-243,Cm-243,Operational,PDF
C14/30278,30278,Кюрий-244,Cm-244,Operational,PDF
C14/30279,30279,Кюрий-245,Cm-245,Operational,PDF
C14/30280,30280,Кюрий-246,Cm-246,Operational,PDF
C14/30281,30281,Кюрий-247,Cm-247,Operational,PDF
C14/30282,30282,Кюрий-248,Cm-248,Operational,PDF
C14/30283,30283,Кюрий-243/244,Cm-243244,Operational,PDF
C14/30284,30284,Плутоний-238/Америций-241,Pu-238Am-241,Operational,PDF
C14/30285,30285,Плутоний-239/240,Pu-239240,Operational,PDF
C14/30286,30286,Берклий-249,Bk-249,Operational,PDF
C14/30287,30287,Калифорний-249,Cf-249,Operational,PDF
C14/30288,30288,Калифорний-250,Cf-250,Operational,PDF
C14/30289,30289,Калифорний-252,Cf-252,Operational,PDF
C14/30290,30290,Сумма аэрозольных частиц,SumAer,Operational,PDF
C14/30291,30291,Суммарный йод,SumIod,Operational,PDF
C14/30292,30292,Сумма благородных газов,SumNG,Operational,PDF
C14/30293,30293,Активационный газ,ActGas,Operational,PDF
C14/30294,30294,Cs-137 эквивалент,EquCs137,Operational,PDF
C14/30295,30295,,C-13,Operational,NA
C14/30296,30296,Свинец,Pb,Operational,PDF
C14/30297,30297,,Te-131,Operational,NA
C14/30298,30298,,Nd-137,Operational,NA
