ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_ru,CodeFigure_SubCentres,Name_SubCentres_ru,Status,translation_source
C12/85/204,85,Тулуза (РСМЦ),204,Институт охраны окружающей среды - Национальный исследовательский институт (Польша),Operational,PDF
C12/89/1,89,Прага (РУТ),1,Обсерватория для изучения Солнца и озона в Градец Кралове,Operational,PDF
C12/96/1,96,Афины,1,Кипр (НМЦ),Operational,PDF
C12/211/10,211,,10,,Operational,NA
C12/227/1,227,Бельгия (НМЦ),1,Люксембург (НМЦ),Operational,PDF
C12/250/76,250,КОСМО (Консорциум по мелкомасштабному моделированию),76,Росгидромет (Российская Федерация),Operational,PDF
C12/250/78,250,КОСМО (Консорциум по мелкомасштабному моделированию),78,Deutscher Wetterdienst (Германия),Operational,PDF
C12/250/80,250,КОСМО (Консорциум по мелкомасштабному моделированию),80,Ufficio Generale Spazio Aereo e Meteorologia (Италия),Operational,PDF
C12/250/96,250,КОСМО (Консорциум по мелкомасштабному моделированию),96,Греческая национальная метеорологическая служба,Operational,PDF
C12/250/215,250,КОСМО (Консорциум по мелкомасштабному моделированию),215,МетеоСвисс (Швейцария),Operational,PDF
C12/250/220,250,КОСМО (Консорциум по мелкомасштабному моделированию),220,Институт метеорологии и водного хозяйства (Польша),Operational,PDF
C12/250/242,250,КОСМО (Консорциум по мелкомасштабному моделированию),242,Национальная метеорологическая администрация (Румыния),Operational,PDF
C12/254/10,254,Оперативный центр ЕВМЕТСАТ,10,Тромсё (Норвегия),Operational,PDF
C12/254/20,254,Оперативный центр ЕВМЕТСАТ,20,Маспаломас (Испания),Operational,PDF
C12/254/30,254,Оперативный центр ЕВМЕТСАТ,30,Кангерлуссуак (Гренландия),Operational,PDF
C12/254/40,254,Оперативный центр ЕВМЕТСАТ,40,Эдмонтон (Канада),Operational,PDF
C12/254/50,254,Оперативный центр ЕВМЕТСАТ,50,Бедфорд (Канада),Operational,PDF
C12/254/60,254,Оперативный центр ЕВМЕТСАТ,60,Гандер (Канада),Operational,PDF
C12/254/70,254,Оперативный центр ЕВМЕТСАТ,70,Монтерей (США),Operational,PDF
C12/254/80,254,Оперативный центр ЕВМЕТСАТ,80,Остров Уоллопс (США),Operational,PDF
C12/254/90,254,Оперативный центр ЕВМЕТСАТ,90,Гилмор Крик (США),Operational,PDF
C12/254/100,254,Оперативный центр ЕВМЕТСАТ,100,Афины (Греция),Operational,PDF
C12/254/120,254,Оперативный центр ЕВМЕТСАТ,120,"Эва-Бич, Гавайи",Operational,PDF
C12/254/125,254,Оперативный центр ЕВМЕТСАТ,125,"Форд Айленд, Гавайи",Operational,PDF
C12/254/130,254,Оперативный центр ЕВМЕТСАТ,130,"Майами, Флорида",Operational,PDF
C12/254/140,254,Оперативный центр ЕВМЕТСАТ,140,Ланьон (Франция),Operational,PDF
C12/254/150,254,Оперативный центр ЕВМЕТСАТ,150,Свальбард (Норвегия),Operational,PDF
C12/254/170,254,Оперативный центр ЕВМЕТСАТ,170,Сен-Дени (Реюньон),Operational,PDF
C12/254/180,254,Оперативный центр ЕВМЕТСАТ,180,Москва,Operational,PDF
C12/254/190,254,Оперативный центр ЕВМЕТСАТ,190,Маскат,Operational,PDF
C12/254/200,254,Оперативный центр ЕВМЕТСАТ,200,Хабаровск,Operational,PDF
C12/254/210,254,Оперативный центр ЕВМЕТСАТ,210,Новосибирск,Operational,PDF
C12/254/220,254,Оперативный центр ЕВМЕТСАТ,220,,Operational,PDF
